project,createdAt,pushedAt,releases,issues,commits,license,issue_rate,commit_rate,contributors,downloads,url
florianutz/Ubuntu1804-CIS,2018-12-12T20:28:30Z,2021-12-13T19:58:53Z,10,32,85,mit,0.889,2.361,20,33091,https://github.com/florianutz/Ubuntu1804-CIS.git
robertdebock/ansible-role-remi,2019-07-14T17:44:47Z,2022-01-27T14:18:33Z,38,1,241,apache-2.0,0.033,8.033,2,31417,https://github.com/robertdebock/ansible-role-remi.git
wcm-io-devops/ansible-aem-cms,2017-07-10T08:45:05Z,2021-10-04T14:14:24Z,6,1,121,apache-2.0,0.02,2.42,10,31211,https://github.com/wcm-io-devops/ansible-aem-cms.git
patrickjahns/ansible-role-promtail,2020-02-08T17:06:42Z,2022-01-31T03:57:45Z,21,15,177,mit,0.652,7.696,17,26477,https://github.com/patrickjahns/ansible-role-promtail.git
linux-system-roles/kdump,2017-04-25T16:37:55Z,2022-01-11T13:27:50Z,12,8,122,mit,0.143,2.179,12,23669,https://github.com/linux-system-roles/kdump.git
thomas-maurice/ansible-role-gitea,2017-01-10T21:10:08Z,2022-01-16T16:46:40Z,1,15,123,bsd-3-clause,0.25,2.05,21,18366,https://github.com/thomas-maurice/ansible-role-gitea.git
robertdebock/ansible-role-auditd,2019-06-18T13:53:52Z,2022-01-27T10:43:17Z,55,7,265,apache-2.0,0.226,8.548,5,17599,https://github.com/robertdebock/ansible-role-auditd.git
florianutz/Ubuntu1604-CIS,2017-12-30T21:11:45Z,2021-09-23T23:27:18Z,4,16,88,mit,0.364,2.0,9,17505,https://github.com/florianutz/Ubuntu1604-CIS.git
redhat-sap/sap-hostagent,2019-11-27T09:47:51Z,2021-09-18T11:46:37Z,1,6,51,apache-2.0,0.286,2.429,5,14854,https://github.com/redhat-sap/sap-hostagent.git
idealista/apache_httpd-role,2017-11-02T10:50:33Z,2022-01-28T11:57:16Z,18,27,205,apache-2.0,0.54,4.1,9,14190,https://github.com/idealista/apache_httpd-role.git
